City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
308,wagar,SD,98.35,28,43,5.82,16.1525,36.2032,1687027780
309,san agustin acasaguastlan,GT,88.11,39,7,5.64,14.95,-89.9667,1687027780
310,bodden town,KY,89.6,66,20,11.5,19.2833,-81.25,1687027778
311,rio grande,BR,60.91,56,5,13.94,-32.035,-52.0986,1687027140
312,college,US,67.46,63,75,3.44,64.8569,-147.8028,1687027371
313,basse-terre,GP,85.24,58,75,12.66,16.1667,-61.6667,1687027780
314,santa marta,CO,84.25,84,75,6.91,11.2408,-74.199,1687027780
315,qazigund,IN,62.47,74,14,0.92,33.6333,75.15,1687027780
316,chibougamau,CA,67.62,60,75,9.22,49.9168,-74.3659,1687027403
317,norfolk,US,66.6,90,100,4.61,42.1668,-71.2495,1687027780
318,niafunke,ML,96.6,32,100,3.4,15.9322,-3.9906,1687027780
319,myory,BY,67.84,58,100,6.2,55.6217,27.6299,1687027780
320,ubinskoye,RU,53.56,82,9,8.41,55.3068,79.6802,1687027781
321,jatiroto,ID,72.48,94,52,2.13,-7.8833,111.1167,1687027781
322,daru,PG,76.68,71,100,12.33,-9.0763,143.2092,1687027781
323,marsh harbour,BS,85.1,67,14,9.17,26.5412,-77.0636,1687027695
324,cidreira,BR,59.4,65,0,14.12,-30.1811,-50.2056,1687027414
325,saint-pierre,RE,74.88,83,75,3.44,-21.3393,55.4781,1687027781
326,kingaroy,AU,46.71,94,97,1.05,-26.5333,151.8333,1687027781
327,itamaraca,BR,80.65,82,89,7.47,-7.7478,-34.8256,1687027781
328,namsos,NO,66.11,59,34,4.61,64.4662,11.4957,1687027781
329,ujae,MH,81.63,80,100,17.07,8.9322,165.7642,1687027781
330,san fernando,PH,82.13,85,2,3.27,15.0286,120.6898,1687027781
331,remire-montjoly,GF,87.84,62,40,9.22,4.9167,-52.2667,1687027380
332,les avirons,RE,71.69,83,75,3.44,-21.2418,55.3394,1687027782
